"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72052803064","2025-05-29","38.6975","-106.07","2421.9","BUENA VISTA CENTRAL COLORADO REGIONAL AIRPORT, CO US","  52.9","24","  33.6","24","9999.9"," 0","763.2","24"," 10.0","24","  7.9","24"," 33.0"," 46.0","  67.3"," ","  37.9"," ","99.99"," ","999.9","010010"
"72052803064","2025-05-30","38.6975","-106.07","2421.9","BUENA VISTA CENTRAL COLORADO REGIONAL AIRPORT, CO US","  54.6","24","  33.3","24","9999.9"," 0","765.9","23"," 10.0","24","  6.3","24"," 24.1"," 31.1","  78.1"," ","  36.1"," "," 0.00","I","999.9","000010"
"72052803064","2025-05-31","38.6975","-106.07","2421.9","BUENA VISTA CENTRAL COLORADO REGIONAL AIRPORT, CO US","  59.8","24","  32.4","24","9999.9"," 0","766.4","23"," 10.0","24","  5.7","24"," 27.0"," 35.0","  83.3"," ","  40.6"," "," 0.00","I","999.9","000000"
"72052803064","2025-06-01","38.6975","-106.07","2421.9","BUENA VISTA CENTRAL COLORADO REGIONAL AIRPORT, CO US","  60.8","24","  36.3","24","9999.9"," 0","762.6","18","  9.8","24","  5.2","24"," 22.0"," 29.9","  79.2"," ","  43.3"," ","99.99"," ","999.9","010000"
"72052803064","2025-06-02","38.6975","-106.07","2421.9","BUENA VISTA CENTRAL COLORADO REGIONAL AIRPORT, CO US","  57.6","24","  36.8","24","9999.9"," 0","760.2","24"," 10.0","24","  4.3","24"," 18.1"," 27.0","  72.3"," ","  43.3"," ","99.99"," ","999.9","010000"
"72052803064","2025-06-03","38.6975","-106.07","2421.9","BUENA VISTA CENTRAL COLORADO REGIONAL AIRPORT, CO US","  54.7","24","  41.5","24","9999.9"," 0","758.5","23","  9.7","24","  5.4","24"," 15.9"," 26.0","  68.7"," ","  47.3"," ","99.99"," ","999.9","010000"
"72052803064","2025-06-04","38.6975","-106.07","2421.9","BUENA VISTA CENTRAL COLORADO REGIONAL AIRPORT, CO US","  53.8","24","  39.1","24","9999.9"," 0","759.8","24"," 10.0","24","  7.6","24"," 17.1"," 22.9","  67.1"," ","  43.7"," ","99.99"," ","999.9","010000"
"72052803064","2025-06-05","38.6975","-106.07","2421.9","BUENA VISTA CENTRAL COLORADO REGIONAL AIRPORT, CO US","  52.1","24","  40.4","24","9999.9"," 0","760.8","24"," 10.0","24","  4.1","24"," 18.1"," 26.0","  68.0"," ","  42.1"," ","99.99"," ","999.9","010000"
"72052803064","2025-06-06","38.6975","-106.07","2421.9","BUENA VISTA CENTRAL COLORADO REGIONAL AIRPORT, CO US","  51.7","24","  40.7","24","9999.9"," 0","762.3","24"," 10.0","24","  4.9","24"," 24.1"," 29.9","  64.9"," ","  43.2"," ","99.99"," ","999.9","010010"
"72052803064","2025-06-07","38.6975","-106.07","2421.9","BUENA VISTA CENTRAL COLORADO REGIONAL AIRPORT, CO US","  55.5","24","  31.8","24","9999.9"," 0","762.9","24"," 10.0","24","  6.5","24"," 15.9"," 25.1","  75.9"," ","  35.6"," "," 0.00","I","999.9","000000"
