"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"26479099999","2025-01-04","56.4833333","31.6333333","187.0","TOROPEC, RS","  26.5"," 4","  25.2"," 4"," 998.6"," 4","975.2"," 4","  6.2"," 4","  5.3"," 4","  9.7","999.9","  28.2"," ","  25.3","*"," 0.17","F","  1.6","001000"
"26479099999","2025-01-10","56.4833333","31.6333333","187.0","TOROPEC, RS","  34.4"," 4","  33.7"," 4","1006.1"," 4","982.9"," 4","  4.3"," 4","  6.8"," 4","  7.8","999.9","  36.3"," ","  30.6"," "," 0.19","F","  1.6","000000"
"26479099999","2025-01-14","56.4833333","31.6333333","187.0","TOROPEC, RS","  29.6"," 4","  29.1"," 4","1014.4"," 4","990.8"," 4","  4.3"," 4","  5.3"," 4","  5.8","999.9","  32.9"," ","  20.1"," "," 0.20","F","  2.4","001000"
"26479099999","2025-02-02","56.4833333","31.6333333","187.0","TOROPEC, RS","  29.0"," 4","  28.3"," 4","1014.6"," 4","991.0"," 4","  4.3"," 4","  3.9"," 4","  5.8","999.9","  30.6"," ","  28.4"," "," 0.21","F","  1.6","001000"
"26479099999","2025-02-03","56.4833333","31.6333333","187.0","TOROPEC, RS","  27.3"," 4","  26.5"," 4","1016.0"," 4","992.2"," 4","  6.2"," 4","  3.4"," 4","  3.9","999.9","  30.0"," ","  27.0","*"," 0.01","F","  1.6","000000"
"26479099999","2025-02-04","56.4833333","31.6333333","187.0","TOROPEC, RS","  24.0"," 4","  22.8"," 4","1026.9"," 4","002.7"," 4","  6.2"," 4","  2.9"," 4","  3.9","999.9","  25.0"," ","  23.5"," "," 0.04","F","  2.0","001000"
"26479099999","2025-02-14","56.4833333","31.6333333","187.0","TOROPEC, RS","  16.2"," 4","  13.9"," 4","1016.3"," 4","992.0"," 4","  5.3"," 4","  3.9"," 4","  5.8","999.9","  19.9"," ","  13.1"," "," 0.01","F","  1.6","001000"
"26479099999","2025-03-05","56.4833333","31.6333333","187.0","TOROPEC, RS","  35.4"," 4","  34.3"," 4","1003.7"," 4","980.6"," 4","  6.2"," 4","  4.9"," 4","  9.7","999.9","  40.1"," ","  30.7"," "," 0.16","F","  1.2","000000"
"26479099999","2025-03-25","56.4833333","31.6333333","187.0","TOROPEC, RS","  39.9"," 4","  38.0"," 4","1014.6"," 4","991.4"," 4","  5.3"," 4","  1.9"," 4","  1.9","999.9","  43.9"," ","  36.9","*"," 0.21","F","999.9","000000"
"26479099999","2025-04-15","56.4833333","31.6333333","187.0","TOROPEC, RS","  54.9"," 4","  47.8"," 4","1019.9"," 4","997.4"," 4","  6.2"," 4","  2.4"," 4","  3.9","999.9","  64.0"," ","  48.0"," "," 0.04","F","999.9","000000"
"26479099999","2025-06-17","56.4833333","31.6333333","187.0","TOROPEC, RS","  61.2"," 4","  55.7"," 4","1007.9"," 4","986.0"," 4","  5.3"," 4","  2.9"," 4","  3.9","999.9","  66.4"," ","  57.9"," "," 0.17","F","999.9","010000"
"26479099999","2025-07-12","56.4833333","31.6333333","187.0","TOROPEC, RS","  68.1"," 4","  64.7"," 4","1015.7"," 4","993.9"," 4","  6.2"," 4","  1.5"," 4","  1.9","999.9","  82.4"," ","  65.7"," "," 0.10","F","999.9","000010"
"26479099999","2025-07-21","56.4833333","31.6333333","187.0","TOROPEC, RS","  65.5"," 6","  62.8"," 6","1005.0"," 6","983.6"," 5","  5.6"," 6","  2.3"," 6","  3.9","999.9","  69.6"," ","  60.4"," "," 0.25","F","999.9","010000"
"26479099999","2025-07-22","56.4833333","31.6333333","187.0","TOROPEC, RS","  66.9"," 8","  62.8"," 8","1004.5"," 8","983.0"," 8","  5.7"," 8","  3.6"," 8","  5.8","999.9","  77.4"," ","  61.7"," "," 0.12","F","999.9","010000"
"26479099999","2025-07-23","56.4833333","31.6333333","187.0","TOROPEC, RS","  68.6"," 8","  63.4"," 8","1004.9"," 8","984.1"," 8","  6.2"," 8","  1.0"," 8","  1.9","999.9","  78.8"," ","  59.7"," "," 0.02","F","999.9","000000"
"26479099999","2025-07-24","56.4833333","31.6333333","187.0","TOROPEC, RS","  72.2"," 7","  64.5"," 7","1008.9"," 7","987.5"," 7","  5.1"," 7","  2.8"," 7","  5.8","999.9","  84.6"," ","  61.3"," "," 0.00","F","999.9","010010"
"26479099999","2025-07-25","56.4833333","31.6333333","187.0","TOROPEC, RS","  67.4"," 8","  63.4"," 8","1011.9"," 8","990.2"," 8","  5.3"," 8","  1.2"," 8","  1.9","999.9","  74.7"," ","  58.5"," "," 0.35","F","999.9","000010"
"26479099999","2025-07-26","56.4833333","31.6333333","187.0","TOROPEC, RS","  67.0"," 8","  63.0"," 7","1011.7"," 8","990.0"," 8","  5.3"," 8","  1.2"," 8","  3.9","999.9","  76.1"," ","  60.8"," "," 0.00","F","999.9","010000"
"26479099999","2025-07-27","56.4833333","31.6333333","187.0","TOROPEC, RS","  68.5"," 8","  63.1"," 8","1011.9"," 8","990.3"," 8","  6.2"," 8","  2.9"," 8","  5.8","999.9","  81.5"," ","  59.4"," "," 0.02","F","999.9","000000"
