"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"86033099999","2025-01-02","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  84.2"," 4","  70.6"," 4","1010.2"," 4","000.8"," 4"," 12.4"," 4","  1.9"," 4","  1.9","999.9"," 104.0"," ","  77.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-03","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  82.4"," 4","  70.1"," 4","1009.0"," 4","999.6"," 4"," 12.4"," 4","  1.5"," 4","  1.9","999.9","  95.0"," ","  75.2"," "," 0.20","G","999.9","000000"
"86033099999","2025-01-05","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  82.5"," 4","  72.7"," 4","1007.9"," 4","998.5"," 4"," 12.4"," 4","  1.5"," 4","  1.9","999.9","  95.4","*","  75.2"," "," 0.94","G","999.9","000000"
"86033099999","2025-01-07","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  85.6"," 4","  74.2"," 4","1009.9"," 4","000.1"," 4"," 12.4"," 4","  1.5"," 4","  1.9","999.9","  99.3"," ","  74.5"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-08","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  86.5"," 4","  71.0"," 4","1008.7"," 4","999.4"," 4"," 12.4"," 4","  1.0"," 4","  1.9","999.9"," 102.6"," ","  77.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-09","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  86.9"," 4","  68.3"," 4","1008.6"," 4","999.3"," 4"," 12.4"," 4","  1.0"," 4","  1.9","999.9"," 104.0"," ","  75.2"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-11","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  88.7"," 4","  72.9"," 4","1010.5"," 4","001.2"," 4"," 12.4"," 4","  1.9"," 4","  1.9","999.9"," 102.6"," ","  77.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-12","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  84.8"," 4","  71.0"," 4","1010.6"," 4","001.3"," 4"," 12.4"," 4","  1.5"," 4","  1.9","999.9"," 103.3"," ","  78.8"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-13","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  85.6"," 4","  69.9"," 4","1009.1"," 4","999.8"," 4"," 12.4"," 4","  1.0"," 4","  1.9","999.9","  98.6","*","  77.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-14","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  86.9"," 4","  72.2"," 4","1009.4"," 4","000.1"," 4"," 12.4"," 4","  1.0"," 4","  1.9","999.9"," 102.9"," ","  77.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-15","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  87.1"," 4","  70.1"," 4","1008.2"," 4","999.1"," 4"," 12.4"," 4","  1.5"," 4","  1.9","999.9"," 103.3"," ","  77.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-16","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  87.5"," 4","  70.3"," 4","1007.5"," 4","998.3"," 4"," 12.4"," 4","  2.2"," 4","  2.9","999.9"," 104.0"," ","  77.7"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-17","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  89.2"," 4","  73.4"," 4","1006.5"," 4","997.8"," 4"," 12.4"," 4","  1.7"," 4","  2.9","999.9"," 104.4"," ","  78.8"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-18","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  86.4"," 4","  71.0"," 4","1006.3"," 4","997.0"," 4"," 12.4"," 4","  1.9"," 4","  1.9","999.9"," 105.8"," ","  77.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-19","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  86.4"," 4","  73.0"," 4","1006.7"," 4","997.4"," 4"," 12.4"," 4","  2.2"," 4","  2.9","999.9"," 105.8"," ","  77.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-20","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  80.9"," 4","  71.4"," 4","1007.3"," 4","997.9"," 4"," 11.7"," 4","  1.9"," 4","  1.9","999.9"," 104.0"," ","  75.2"," "," 0.47","G","999.9","010000"
"86033099999","2025-01-21","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  80.2"," 4","  70.3"," 4","1006.6"," 4","997.2"," 4"," 11.7"," 4","  1.9"," 4","  1.9","999.9","  98.6"," ","  74.5"," "," 1.06","G","999.9","010000"
"86033099999","2025-01-24","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  85.1"," 4","  70.9"," 4","1007.8"," 4","998.4"," 4"," 12.4"," 4","  2.2"," 4","  2.9","999.9","  96.8","*","  75.2"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-25","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  87.8"," 4","  71.6"," 4","1008.5"," 4","999.2"," 4"," 12.4"," 4","  1.0"," 4","  1.9","999.9"," 100.4","*","  77.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-27","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  86.6"," 4","  68.1"," 4","1007.6"," 4","998.4"," 4"," 12.4"," 4","  1.0"," 4","  1.9","999.9"," 100.4","*","  77.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-28","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  87.4"," 4","  70.6"," 4","1008.4"," 4","999.1"," 4"," 12.4"," 4","  1.7"," 4","  2.9","999.9"," 104.0"," ","  78.8"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-30","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  81.9"," 4","  73.7"," 4","1007.4"," 4","998.1"," 4"," 12.4"," 4","  1.5"," 4","  1.9","999.9","  96.8"," ","  77.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-01-31","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  85.0"," 4","  71.7"," 4","1007.5"," 4","998.2"," 4"," 12.4"," 4","  1.5"," 4","  1.9","999.9","  97.2","*","  75.9"," "," 0.00","I","999.9","000000"
"86033099999","2025-02-01","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  85.1"," 4","  71.6"," 4","1008.7"," 4","999.4"," 4"," 12.4"," 4","  2.2"," 4","  2.9","999.9","  98.6"," ","  75.9"," "," 0.00","I","999.9","000000"
"86033099999","2025-02-02","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  85.6"," 4","  72.9"," 4","1009.6"," 4","000.3"," 4"," 12.4"," 4","  1.0"," 4","  1.9","999.9","  98.6","*","  77.0"," "," 0.20","G","999.9","010000"
"86033099999","2025-07-12","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  72.2"," 4","  57.6"," 4","1016.5"," 4","006.8"," 4"," 12.4"," 4","  1.5"," 4","  1.9","999.9","  89.6"," ","  59.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-07-13","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  75.6"," 4","  56.8"," 4","1017.1"," 4","007.6"," 4"," 12.4"," 4","  1.5"," 4","  1.9","999.9","  89.6"," ","  64.4"," "," 0.00","I","999.9","000000"
"86033099999","2025-07-14","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  75.7"," 4","  54.6"," 4","1017.3"," 4","007.8"," 4"," 12.4"," 4","  1.0"," 4","  1.9","999.9","  93.9"," ","  60.8"," "," 0.00","I","999.9","000000"
"86033099999","2025-07-17","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  63.9"," 4","  54.4"," 4","1016.4"," 4","006.7"," 4"," 12.4"," 4","  3.1"," 4","  4.1","999.9","  91.4"," ","  57.2"," "," 0.00","I","999.9","000000"
"86033099999","2025-07-20","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  69.4"," 4","  49.9"," 4","1019.7"," 4","010.1"," 4"," 12.4"," 4","  1.0"," 4","  1.9","999.9","  84.2","*","  59.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-07-23","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  77.4"," 4","  60.2"," 4","1014.1"," 4","004.6"," 4"," 12.4"," 4","  1.5"," 4","  1.9","999.9","  96.8"," ","  68.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-07-26","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  80.2"," 4","  58.0"," 4","1012.0"," 4","002.6"," 4"," 12.4"," 4","  2.5"," 4","  8.0","999.9","  95.0"," ","  69.8"," "," 0.00","I","999.9","000000"
"86033099999","2025-07-27","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  82.2"," 4","  62.1"," 4","1011.0"," 4","001.6"," 4"," 12.4"," 4","  1.5"," 4","  1.9","999.9","  96.8"," ","  73.4"," "," 0.00","I","999.9","000000"
"86033099999","2025-07-29","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  60.4"," 4","  47.1"," 4","1024.8"," 4","014.6"," 4"," 12.4"," 4","  1.5"," 4","  1.9","999.9","  71.6"," ","  55.4"," "," 0.00","I","999.9","000000"
"86033099999","2025-07-31","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  76.3"," 4","  51.8"," 4","1017.5"," 4","007.8"," 4"," 12.4"," 4","  3.9"," 4","  9.9","999.9","  91.4"," ","  68.0"," "," 0.00","I","999.9","000000"
"86033099999","2025-08-02","-20.2287","-58.1691","96.0","BAHIA NEGRA, PA","  83.8"," 4","  62.0"," 4","1011.3"," 4","001.9"," 4"," 12.4"," 4","  8.0"," 4"," 24.1","999.9","  96.8"," ","  71.6"," "," 0.00","I","999.9","000000"
