"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72503014732","2025-01-01","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  46.7","24","  38.3","24","1001.2","18","999.3","20","  9.5","24"," 11.8","24"," 24.1"," 35.0","  53.1"," ","  43.0"," "," 0.41","G","999.9","010010"
"72503014732","2025-01-02","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  40.7","24","  20.5","24","1010.5","24","009.5","24"," 10.0","24"," 18.5","24"," 28.0"," 42.0","  52.0"," ","  37.9"," "," 0.00","G","999.9","000000"
"72503014732","2025-01-03","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  35.9","24","  15.3","24","1012.8","24","011.8","24"," 10.0","24"," 13.8","24"," 20.0"," 33.0","  44.1"," ","  34.0"," "," 0.00","G","999.9","000000"
"72503014732","2025-01-04","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  32.5","24","  11.9","24","1009.9","24","008.9","24"," 10.0","24"," 17.8","24"," 27.0"," 39.0","  39.9"," ","  30.0"," "," 0.00","G","999.9","000000"
"72503014732","2025-01-05","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  30.4","24","   9.0","24","1015.6","24","014.7","24"," 10.0","24"," 15.8","24"," 22.0"," 29.9","  34.0"," ","  28.0"," "," 0.00","G","999.9","000000"
"72503014732","2025-01-06","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  30.3","24","  16.4","24","1013.4","21","012.0","24","  8.6","24","  7.9","24"," 18.1"," 24.1","  34.0"," ","  28.0"," "," 0.00","G","  1.2","001000"
"72503014732","2025-01-07","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  26.3","24","  11.2","24","1007.5","24","006.5","24"," 10.0","24"," 20.1","24"," 26.0"," 48.0","  34.0"," ","  19.9"," "," 0.04","G","  1.2","000000"
"72503014732","2025-01-08","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  27.7","24","   8.1","24","1013.4","24","012.4","24"," 10.0","24"," 20.5","24"," 25.1"," 40.0","  34.0"," ","  19.9"," "," 0.00","G","999.9","000000"
"72503014732","2025-01-09","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  27.1","24","   9.1","24","1007.4","24","006.4","24"," 10.0","24"," 22.0","24"," 28.9"," 44.1","  34.0"," ","  24.1"," "," 0.00","G","999.9","000000"
"72503014732","2025-01-10","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  32.3","24","  14.8","24","1012.3","24","011.3","24"," 10.0","24"," 14.9","24"," 22.9"," 32.1","  41.0"," ","  24.1"," "," 0.00","G","999.9","000000"
