"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"78367011706","2025-01-01","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  77.3","20","  70.1","20","1015.5","20","013.7","15"," 10.0","20","  6.9","20"," 17.1","999.9","  86.0"," ","  69.1"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-03","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  77.6","21","  65.7","21","1017.2","20","015.1","21"," 10.0","21"," 10.0","21"," 17.1"," 22.9","  87.1"," ","  70.0"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-04","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  77.6","24","  65.6","24","1017.6","24","015.6","24"," 10.0","24","  9.9","24"," 15.9"," 22.9","  87.1"," ","  71.1"," "," 0.00","H","999.9","010000"
"78367011706","2025-01-05","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  75.2","24","  63.1","24","1019.0","24","016.9","24"," 10.0","24","  9.5","24"," 15.0"," 20.0","  87.1"," ","  66.9"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-06","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  74.7","24","  64.9","24","1017.0","24","014.9","24"," 10.0","24","  8.0","24"," 15.0","999.9","  86.0"," ","  64.9"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-07","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  77.4","24","  68.8","24","1015.7","24","013.7","24"," 10.0","24","  6.7","24","  8.9","999.9","  91.0"," ","  64.9"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-08","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  77.9","24","  67.2","24","1016.4","24","014.4","24"," 10.0","24","  7.9","24"," 13.0"," 17.1","  91.0"," ","  69.1"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-09","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  77.3","24","  66.3","24","1015.4","24","013.4","24"," 10.0","24","  8.3","24"," 12.0","999.9","  90.0"," ","  69.1"," "," 0.00","A","999.9","000000"
"78367011706","2025-01-10","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  75.3","24","  63.8","24","1015.0","24","013.0","24"," 10.0","24","  8.5","24"," 13.0","999.9","  88.0"," ","  66.9"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-11","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  75.0","23","  65.9","23","1015.1","23","013.0","23"," 10.0","23","  7.2","23","  9.9","999.9","  84.9"," ","  64.9"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-12","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  76.6","24","  69.1","24","1016.1","24","014.0","24","  9.9","24","  6.1","24"," 13.0","999.9","  84.9"," ","  64.9"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-13","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  78.3","24","  68.3","24","1018.0","24","015.9","24","  9.6","24","  8.9","24"," 18.1","999.9","  87.1"," ","  68.0"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-14","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  77.3","23","  68.3","23","1018.8","23","016.8","23"," 10.0","23","  8.0","23"," 17.1"," 27.0","  87.1"," ","  68.0"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-15","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  78.5","24","  66.0","24","1018.9","24","016.9","24","  9.9","24","  9.0","24"," 15.0"," 18.1","  91.0"," ","  68.0"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-16","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  77.3","24","  67.3","24","1019.1","24","017.1","24"," 10.0","24","  8.7","24"," 19.0","999.9","  91.0"," ","  69.1"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-17","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  76.7","24","  68.1","24","1018.7","24","016.7","24"," 10.0","24","  8.4","24"," 17.1"," 19.0","  86.0"," ","  66.9"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-18","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  77.5","24","  69.4","24","1018.8","24","016.8","24"," 10.0","24","  6.5","24"," 14.0","999.9","  87.1"," ","  66.9"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-19","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  77.3","24","  70.8","24","1018.3","23","016.3","24","  8.9","24","  5.2","24","  8.9","999.9","  87.1"," ","  68.0"," "," 0.00","I","999.9","100000"
"78367011706","2025-01-20","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  77.7","24","  69.3","24","1018.8","24","016.8","24"," 10.0","24","  7.1","24"," 15.0","999.9","  87.1"," ","  68.0"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-21","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  79.0","24","  71.6","24","1018.4","24","016.4","24"," 10.0","24","  7.6","24"," 15.0","999.9","  89.1"," ","  69.1"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-22","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  78.1","24","  70.2","24","1018.6","24","016.6","24","  9.9","24","  5.9","24","  8.9","999.9","  89.1"," ","  69.1"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-23","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  77.1","24","  66.9","24","1018.3","23","016.3","24"," 10.0","24","  5.8","24"," 11.1"," 21.0","  89.1"," ","  64.9"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-24","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  80.0","24","  70.8","24","1017.4","24","015.4","24"," 10.0","24","  7.4","24","  9.9"," 15.9","  88.0"," ","  64.9"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-25","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  80.7","24","  70.4","24","1018.6","24","016.6","24","  9.8","24"," 11.5","24"," 15.9"," 22.9","  90.0"," ","  75.0"," "," 0.00","H","999.9","010000"
"78367011706","2025-01-26","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  79.9","24","  69.3","24","1018.8","24","016.9","24"," 10.0","24","  8.2","24"," 14.0","999.9","  90.0"," ","  73.0"," "," 0.03","B","999.9","000000"
"78367011706","2025-01-27","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  79.8","24","  69.5","24","1016.5","24","014.6","23"," 10.0","24"," 10.5","24"," 20.0"," 26.0","  89.1"," ","  72.0"," ","99.99"," ","999.9","010000"
"78367011706","2025-01-28","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  79.2","24","  70.3","24","1015.5","24","013.6","23"," 10.0","24","  7.2","24","  9.9","999.9","  89.1"," ","  71.1"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-29","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  80.4","24","  69.0","24","1016.8","24","014.9","24"," 10.0","24"," 10.0","24"," 17.1"," 20.0","  89.1"," ","  71.1"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-30","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  80.0","24","  67.0","24","1017.9","24","016.0","23"," 10.0","24","  9.9","24"," 17.1","999.9","  90.0"," ","  70.0"," "," 0.00","I","999.9","000000"
"78367011706","2025-01-31","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  81.1","24","  69.5","24","1017.6","23","015.8","21"," 10.0","24"," 11.0","24"," 21.0"," 28.9","  91.9"," ","  70.0"," "," 0.00","I","999.9","000000"
"78367011706","2025-02-01","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  80.3","24","  71.1","24","1017.0","24","015.0","17"," 10.0","24","  7.9","24"," 17.1","999.9","  91.9"," ","  72.0"," "," 0.00","I","999.9","000000"
"78367011706","2025-02-02","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  81.3","24","  67.6","24","1016.8","24","014.8","24"," 10.0","24","  9.3","24"," 19.0"," 28.0","  90.0"," ","  72.0"," "," 0.00","I","999.9","000000"
"78367011706","2025-02-03","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  79.8","24","  68.0","24","1017.0","24","015.1","24"," 10.0","24","  8.6","24"," 18.1"," 32.1","  90.0"," ","  72.0"," "," 0.00","A","999.9","000000"
"78367011706","2025-02-04","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  79.0","24","  66.5","24","1017.0","24","015.0","24"," 10.0","24","  9.9","24"," 20.0"," 26.0","  89.1"," ","  71.1"," "," 0.00","I","999.9","000000"
"78367011706","2025-02-05","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  78.4","24","  65.7","24","1017.4","24","015.4","24"," 10.0","24","  9.9","24"," 15.9"," 18.1","  88.0"," ","  71.1"," "," 0.00","A","999.9","000000"
"78367011706","2025-02-06","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  78.5","24","  66.1","24","1017.0","24","015.0","24"," 10.0","24"," 10.0","24"," 18.1","999.9","  88.0"," ","  69.1"," "," 0.00","A","999.9","000000"
"78367011706","2025-02-07","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  79.3","24","  67.8","24","1016.7","24","014.7","24"," 10.0","24"," 10.3","24"," 22.0"," 28.0","  89.1"," ","  69.1"," "," 0.00","I","999.9","000000"
"78367011706","2025-02-08","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  79.7","24","  68.1","24","1017.3","24","015.3","24"," 10.0","23","  8.9","23"," 20.0","999.9","  89.1"," ","  71.1"," "," 0.00","I","999.9","000000"
"78367011706","2025-02-09","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  78.1","21","  66.3","21","1018.4","21","016.4","21"," 10.0","21"," 10.4","21"," 21.0","999.9","  90.0"," ","  69.1"," "," 0.00","I","999.9","000000"
"78367011706","2025-02-10","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  79.7","18","  66.6","18","1018.5","18","016.4","17"," 10.0","18","  9.9","18"," 20.0"," 25.1","  90.0"," ","  68.0"," "," 0.00","I","999.9","000000"
"78367011706","2025-02-11","19.9","-75.15","39.9","GUANTANAMO BAY NAS, CU","  80.2","23","  67.3","23","1016.5","21","014.5","23"," 10.0","23"," 10.7","23"," 22.9"," 31.1","  90.0"," ","  68.0"," "," 0.00","I","999.9","000000"
