"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72060300195","2025-01-01","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  53.3","24","  36.3","24","9999.9"," 0","004.5","19"," 10.0","24","  6.5","24"," 15.9"," 22.0","  64.4","*","  41.0","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-02","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  39.5","24","  28.1","24","9999.9"," 0","012.8","24"," 10.0","24","  0.6","24","  6.0"," 13.0","  50.0","*","  28.4","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-03","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  38.0","24","  26.6","24","9999.9"," 0","011.3","24"," 10.0","24","  3.6","24"," 18.1"," 26.0","  55.4","*","  26.6","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-04","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  36.9","24","  13.2","24","9999.9"," 0","012.7","24"," 10.0","24","  4.3","24"," 12.0"," 17.1","  46.4","*","  24.8","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-05","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  34.1","24","  15.9","24","9999.9"," 0","013.2","24","  9.9","24","  0.3","24","  7.0","999.9","  50.0","*","  23.0","*","99.99"," ","999.9","010000"
"72060300195","2025-01-06","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  50.4","24","  39.3","24","9999.9"," 0","999.3","24","  9.3","24","  4.9","24"," 15.9"," 24.1","  60.8","*","  42.8","*","99.99"," ","999.9","010000"
"72060300195","2025-01-07","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  37.6","24","  22.2","24","9999.9"," 0","007.7","24"," 10.0","24","  4.5","24"," 15.0"," 20.0","  48.2","*","  26.6","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-08","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  30.6","24","  19.5","24","9999.9"," 0","012.0","24"," 10.0","24","  0.0","24","  7.0","  9.9","  46.4","*","  17.6","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-09","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  31.7","24","  12.0","24","9999.9"," 0","010.7","24"," 10.0","24","  2.9","24"," 14.0"," 18.1","  42.8","*","  19.4","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-10","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  26.8","24","  16.0","24","9999.9"," 0","010.0","24","  9.1","24","  0.0","24","999.9","999.9","  32.0","*","  19.4","*","99.99"," ","999.9","010000"
"72060300195","2025-01-11","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  35.6","24","  32.1","24","9999.9"," 0","998.0","24","  8.0","24","  3.3","24","  9.9"," 14.0","  46.4","*","  30.2","*","99.99"," ","999.9","010000"
"72060300195","2025-01-12","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  32.7","24","  21.7","24","9999.9"," 0","007.9","24"," 10.0","24","  0.0","24","999.9","999.9","  46.4","*","  21.2","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-13","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  36.4","24","  27.1","24","9999.9"," 0","010.1","24","  9.8","24","  0.7","24","  7.0"," 12.0","  51.8","*","  24.8","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-14","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  37.7","24","  24.3","24","9999.9"," 0","012.0","24"," 10.0","24","  1.6","24"," 13.0"," 15.9","  53.6","*","  26.6","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-15","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  39.4","24","  18.8","24","9999.9"," 0","015.6","24"," 10.0","24","  1.6","24"," 11.1","999.9","  46.4","*","  28.4","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-16","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  36.5","23","  19.7","23","9999.9"," 0","011.2","23"," 10.0","23","  4.2","23"," 19.0"," 28.0","  57.2","*","  19.4","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-17","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  42.8","24","  24.2","24","9999.9"," 0","008.3","24"," 10.0","24","  0.3","24","  8.0"," 11.1","  55.4","*","  24.8","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-18","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  44.8","24","  39.6","24","9999.9"," 0","004.4","24","  9.4","24","  1.2","24","  9.9"," 19.0","  59.0","*","  39.2","*","99.99"," ","999.9","010000"
"72060300195","2025-01-19","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  52.8","24","  49.5","24","9999.9"," 0","997.8","24","  6.2","24","  3.6","24"," 17.1"," 27.0","  59.0","*","  48.2","*","99.99"," ","999.9","110000"
"72060300195","2025-01-20","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  35.6","24","  17.2","24","9999.9"," 0","013.1","24"," 10.0","24","  3.3","24"," 14.0"," 18.1","  48.2","*","  24.8","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-21","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  25.8","24","   5.9","24","9999.9"," 0","021.4","24","  9.8","24","  4.2","24","  9.9"," 14.0","  30.2","*","  21.2","*","99.99"," ","999.9","010000"
"72060300195","2025-01-22","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  26.0","21","  12.0","21","9999.9"," 0","019.8","21","  8.1","21","  5.6","21"," 15.0"," 17.1","  33.8","*","  21.2","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-23","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  25.1","24","  11.3","24","9999.9"," 0","017.2","24"," 10.0","24","  0.7","24"," 11.1","999.9","  39.2","*","  14.0","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-24","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  31.0","24","  18.1","24","9999.9"," 0","014.7","24"," 10.0","24","  0.2","24","  7.0"," 12.0","  46.4","*","  21.2","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-25","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  32.3","24","  18.2","24","9999.9"," 0","018.3","24"," 10.0","24","  1.4","24","  9.9"," 15.0","  51.8","*","  17.6","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-26","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  34.9","24","  20.8","24","9999.9"," 0","017.9","24"," 10.0","24","  0.2","24","  8.0"," 13.0","  55.4","*","  21.2","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-27","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  41.9","24","  37.9","24","9999.9"," 0","011.4","24","  6.7","24","  1.0","24","  7.0"," 12.0","  48.2","*","  35.6","*","99.99"," ","999.9","010000"
"72060300195","2025-01-28","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  47.7","24","  38.3","24","9999.9"," 0","004.0","24","  9.6","24","  4.0","24"," 11.1"," 15.0","  59.0","*","  37.4","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-29","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  51.9","24","  30.9","24","9999.9"," 0","002.4","24"," 10.0","24","  3.8","24"," 14.0"," 17.1","  68.0","*","  39.2","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-30","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  51.1","24","  30.4","24","9999.9"," 0","009.5","24"," 10.0","24","  1.2","24","  8.9"," 14.0","  64.4","*","  32.0","*"," 0.00","I","999.9","000000"
"72060300195","2025-01-31","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  54.9","24","  45.4","24","9999.9"," 0","007.9","22","  9.5","24","  1.7","24","  9.9"," 17.1","  77.0","*","  42.8","*"," 0.00","I","999.9","000000"
"72060300195","2025-02-01","34.283","-80.567","92.0","WOODWARD FIELD AIRPORT, SC US","  57.8","24","  47.8","24","9999.9"," 0","007.1","17","  9.3","24","  3.2","24"," 15.0"," 21.0","  71.6","*","  42.8","*","99.99"," ","999.9","010000"
