"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"65215099999","2025-06-19","7.7833333","4.4833333","304.0","OSHOGBO, NI","  77.5"," 4","  73.1"," 4","1016.6"," 4","979.2"," 4","  5.9"," 4","  4.0"," 4","  8.9","999.9","  88.7"," ","  73.2","*"," 1.34","A","999.9","010010"
"65215099999","2025-06-20","7.7833333","4.4833333","304.0","OSHOGBO, NI","  80.8"," 4","  74.5"," 4","1016.4"," 4","979.0"," 4","  6.2"," 4","  8.2"," 4","  9.9","999.9","  90.0"," ","  73.4","*"," 1.26","A","999.9","000010"
"65215099999","2025-06-21","7.7833333","4.4833333","304.0","OSHOGBO, NI","  75.5"," 5","  72.2"," 5","1016.5"," 5","979.2"," 5","  5.7"," 5","  4.6"," 5","  9.9","999.9","  79.7"," ","  66.2"," "," 0.28","E","999.9","010010"
"65215099999","2025-06-22","7.7833333","4.4833333","304.0","OSHOGBO, NI","  79.6"," 6","  74.3"," 6","1016.2"," 6","978.8"," 6","  6.0"," 6","  4.7"," 6","  7.0","999.9","  86.9"," ","  73.4","*"," 0.00","I","999.9","000010"
"65215099999","2025-06-23","7.7833333","4.4833333","304.0","OSHOGBO, NI","  82.4"," 4","  73.9"," 4","1015.4"," 4","978.1"," 4","  6.2"," 4","  3.2"," 4","  7.0","999.9","  87.3"," ","  78.3","*"," 0.00","I","999.9","000000"
"65215099999","2025-06-24","7.7833333","4.4833333","304.0","OSHOGBO, NI","  81.2"," 5","  73.8"," 5","1014.7"," 5","977.4"," 5","  6.0"," 5","  3.2"," 5","  7.0","999.9","  88.9"," ","  63.3"," "," 0.00","I","999.9","000000"
"65215099999","2025-06-25","7.7833333","4.4833333","304.0","OSHOGBO, NI","  81.5"," 4","  74.8"," 4","1015.9"," 4","978.6"," 4","  5.6"," 4","  5.0"," 4","  8.0","999.9","  88.7","*","  64.4"," "," 0.55","E","999.9","000000"
"65215099999","2025-06-27","7.7833333","4.4833333","304.0","OSHOGBO, NI","  79.0"," 5","  74.3"," 5","1016.7"," 5","979.3"," 5","  6.2"," 5","  7.1"," 5","  8.9","999.9","  81.5"," ","  77.0","*"," 0.00","I","999.9","000000"
"65215099999","2025-06-28","7.7833333","4.4833333","304.0","OSHOGBO, NI","  80.3"," 5","  74.5"," 5","1016.2"," 5","978.8"," 5","  7.1"," 5","  6.4"," 5","  8.9","999.9","  84.6","*","  77.7","*"," 0.00","I","999.9","000000"
"65215099999","2025-06-29","7.7833333","4.4833333","304.0","OSHOGBO, NI","  80.5"," 4","  73.4"," 4","1016.0"," 4","978.6"," 4","  5.6"," 4","  7.7"," 4","  8.9","999.9","  86.0","*","  67.5"," "," 0.00","I","999.9","000000"
"65215099999","2025-06-30","7.7833333","4.4833333","304.0","OSHOGBO, NI","  79.2"," 7","  74.4"," 7","1015.0"," 7","977.7"," 7","  6.0"," 7","  7.1"," 7","  8.9","999.9","  87.4"," ","  68.9"," "," 0.00","E","999.9","000000"
"65215099999","2025-07-01","7.7833333","4.4833333","304.0","OSHOGBO, NI","  79.8"," 4","  74.1"," 4","1016.3"," 4","978.9"," 4","  5.9"," 4","  7.0"," 4","  8.9","999.9","  84.9","*","  75.0","*"," 0.00","G","999.9","000010"
"65215099999","2025-07-02","7.7833333","4.4833333","304.0","OSHOGBO, NI","  79.2"," 4","  73.3"," 4","1017.0"," 4","979.6"," 4","  5.6"," 4","  5.7"," 4","  8.0","999.9","  85.1","*","  71.6"," "," 0.00","I","999.9","000000"
"65215099999","2025-07-04","7.7833333","4.4833333","304.0","OSHOGBO, NI","  75.4"," 4","  73.5"," 4","1017.7"," 4","980.3"," 4","  5.6"," 4","  7.7"," 4","  9.9","999.9","  77.7","*","  72.9","*"," 0.51","A","999.9","010000"
"65215099999","2025-07-07","7.7833333","4.4833333","304.0","OSHOGBO, NI","  76.8"," 4","  73.9"," 4","1016.6"," 4","979.2"," 4","  6.2"," 4","  8.7"," 4","  9.9","999.9","  80.6"," ","  70.9"," "," 0.55","E","999.9","000000"
"65215099999","2025-07-09","7.7833333","4.4833333","304.0","OSHOGBO, NI","  78.2"," 4","  72.8"," 4","1018.7"," 4","981.2"," 4","  6.2"," 4","  5.7"," 4","  8.0","999.9","  81.5","*","  75.2","*"," 0.00","I","999.9","000000"
"65215099999","2025-07-10","7.7833333","4.4833333","304.0","OSHOGBO, NI","  77.6"," 5","  72.8"," 5","1017.6"," 5","980.2"," 5","  5.7"," 5","  6.8"," 5","  9.9","999.9","  84.2"," ","  71.2"," "," 0.00","I","999.9","000000"
"65215099999","2025-07-11","7.7833333","4.4833333","304.0","OSHOGBO, NI","  77.4"," 4","  73.7"," 4","1016.5"," 4","979.2"," 4","  5.9"," 4","  8.2"," 4","  8.9","999.9","  81.5"," ","  73.9","*"," 0.00","A","999.9","010000"
